Date,Open,High,Low,Close,Adj Close,Volume
2022-03-14,4216.0,4254.5,4160.75,4172.0,4172.0,1438651
2022-03-15,4180.25,4271.5,4138.0,4262.0,4262.0,1085846
2022-03-16,4257.5,4376.0,4246.25,4358.0,4358.0,722600
2022-03-17,4370.5,4415.25,4329.0,4410.25,4410.25,434642
2022-03-18,4393.0,4409.35009765625,4373.75,4409.35009765625,4409.35009765625,1405299
2022-03-21,4460.0,4473.0,4415.0,4452.25,4452.25,1375090
2022-03-22,4456.75,4514.75,4433.0,4505.0,4505.0,1205860
2022-03-23,4504.0,4514.0,4444.75,4447.5,4447.5,1336967
2022-03-24,4449.25,4517.5,4445.75,4512.5,4512.5,1221569
2022-03-25,4516.25,4539.0,4493.25,4536.5,4536.5,1251078
2022-03-28,4535.25,4572.25,4509.75,4568.0,4568.0,1182527
2022-03-29,4570.25,4631.0,4565.25,4625.5,4625.5,1353683
2022-03-30,4621.25,4627.5,4574.75,4596.0,4596.0,1206203
2022-03-31,4599.0,4614.25,4526.25,4530.75,4530.75,1650667
2022-04-01,4541.0,4555.5,4501.25,4539.25,4539.25,1441126
2022-04-04,4538.25,4580.0,4527.75,4577.75,4577.75,1025558
2022-04-05,4576.25,4588.75,4507.75,4520.25,4520.25,1303877
2022-04-06,4526.25,4528.75,4444.5,4475.75,4475.75,1803684
2022-04-07,4471.25,4517.25,4444.5,4496.25,4496.25,1446250
2022-04-08,4494.75,4519.75,4468.75,4483.5,4483.5,1358450
2022-04-11,4488.75,4491.25,4403.5,4409.0,4409.0,1431371
2022-04-12,4411.0,4466.75,4375.5,4393.0,4393.0,1739771
2022-04-13,4396.75,4449.5,4384.0,4442.25,4442.25,1254348
2022-04-14,4438.5,4455.75,4385.0,4387.5,4387.5,1396074
2022-04-18,4390.0,4406.25,4355.5,4386.75,4386.75,1149765
2022-04-19,4399.0,4467.0,4371.75,4459.25,4459.25,1465764
2022-04-20,4441.0,4484.25,4432.75,4455.5,4455.5,1423396
2022-04-21,4468.0,4509.0,4380.0,4390.5,4390.5,1704137
2022-04-22,4385.75,4393.25,4247.5,4267.25,4267.25,2039961
2022-04-25,4259.0,4296.5,4195.25,4292.75,4292.75,2280374
2022-04-26,4294.0,4303.5,4136.75,4170.5,4170.5,2018166
2022-04-27,4149.5,4236.25,4149.0,4180.25,4180.25,2035627
2022-04-28,4213.0,4303.5,4182.5,4283.5,4283.5,1798644
2022-04-29,4244.0,4279.75,4118.75,4127.5,4127.5,2117160
2022-05-02,4144.0,4165.75,4056.0,4151.0,4151.0,2351404
2022-05-03,4145.5,4195.75,4129.0,4169.25,4169.25,1678497
2022-05-04,4171.25,4303.0,4142.75,4295.25,4295.25,1783477
2022-05-05,4289.75,4300.75,4099.25,4143.25,4143.25,2389422
2022-05-06,4146.5,4153.25,4062.0,4119.5,4119.5,2310919
2022-05-09,4087.25,4099.0,3970.0,3987.5,3987.5,2139992
2022-05-10,3993.25,4065.5,3953.0,3996.75,3996.75,2247750
2022-05-11,3990.5,4050.5,3923.75,3930.25,3930.25,2157244
2022-05-12,3939.75,3961.75,3855.0,3927.25,3927.25,2380563
2022-05-13,3916.25,4036.0,3915.5,4019.75,4019.75,1859074
2022-05-16,4025.0,4043.5,3979.5,4004.75,4004.75,1695198
2022-05-17,4002.0,4091.5,4000.5,4084.75,4084.75,1716498
2022-05-18,4091.25,4095.0,3905.5,3922.75,3922.75,2202394
2022-05-19,3916.5,3943.5,3856.0,3897.75,3897.75,2317604
2022-05-20,3900.5,3949.5,3807.5,3899.5,3899.5,2408399
2022-05-23,3910.5,3982.25,3906.5,3971.75,3971.75,1736162
2022-05-24,3951.75,3954.5,3872.0,3940.5,3940.5,2017453
2022-05-25,3950.0,3997.75,3913.5,3976.75,3976.75,1744116
2022-05-26,3972.25,4073.5,3960.5,4055.75,4055.75,1493132
2022-05-27,4047.5,4168.25,4041.25,4155.75,4155.75,1547507
2022-05-31,4164.5,4202.25,4102.75,4131.25,4131.25,2222573
2022-06-01,4138.5,4165.0,4071.5,4099.0,4099.0,1912031
2022-06-02,4097.75,4179.0,4072.25,4175.25,4175.25,1513748
2022-06-03,4177.75,4189.0,4096.75,4107.0,4107.0,1532766
2022-06-06,4110.5,4168.25,4104.5,4120.5,4120.5,1457918
2022-06-07,4122.0,4164.0,4076.0,4158.75,4158.75,1677883
2022-06-08,4150.75,4160.0,4105.25,4114.0,4114.0,1706628
2022-06-09,4116.0,4144.25,4014.75,4016.25,4016.25,2024783
2022-06-10,4025.25,4029.5,3895.25,3899.0,3899.0,2117225
2022-06-13,3870.75,3876.5,3732.5,3750.5,3750.5,2155159
2022-06-14,3758.25,3805.0,3705.25,3736.75,3736.75,1341257
2022-06-15,3740.0,3839.0,3720.25,3789.25,3789.25,777545
2022-06-16,3794.25,3828.75,3639.0,3668.25,3668.25,544027
2022-06-17,3677.5,3710.75,3663.760009765625,3663.760009765625,3663.760009765625,2207570
2022-06-20,3684.0,3725.0,3661.5,3716.0,3716.0,2207570
2022-06-21,3684.0,3783.75,3661.5,3767.75,3767.75,1566039
2022-06-22,3766.25,3805.5,3693.25,3762.75,3762.75,1660579
2022-06-23,3761.25,3805.75,3735.0,3799.75,3799.75,1607695
2022-06-24,3785.25,3919.75,3781.25,3916.25,3916.25,1563128
2022-06-27,3915.0,3948.0,3892.5,3903.75,3903.75,1497368
2022-06-28,3911.25,3950.0,3821.75,3825.5,3825.5,1791690
2022-06-29,3828.25,3840.0,3801.25,3821.25,3821.25,1717770
2022-06-30,3822.75,3825.0,3741.25,3789.5,3789.5,2394361
2022-07-01,3782.0,3833.5,3744.5,3827.25,3827.25,1752977
2022-07-05,3828.5,3857.75,3744.0,3834.0,3834.0,2031501
2022-07-06,3838.0,3875.0,3808.75,3848.25,3848.25,1684324
2022-07-07,3853.75,3914.25,3832.5,3905.0,3905.0,1314443
2022-07-08,3897.0,3922.0,3868.0,3901.25,3901.25,1485497
2022-07-11,3900.0,3900.75,3850.0,3856.75,3856.75,1486103
2022-07-12,3862.0,3876.5,3804.75,3823.75,3823.75,1640864
2022-07-13,3825.0,3873.0,3752.0,3804.5,3804.5,2157968
2022-07-14,3795.75,3806.25,3723.75,3793.25,3793.25,1916260
2022-07-15,3797.75,3868.25,3780.25,3865.0,3865.0,1523753
2022-07-18,3878.5,3909.5,3820.25,3833.75,3833.75,1439590
2022-07-19,3838.5,3948.0,3834.0,3937.5,3937.5,1611604
2022-07-20,3947.0,3977.25,3922.25,3962.5,3962.5,1734355
2022-07-21,3954.0,4004.75,3930.25,4001.25,4001.25,1821097
2022-07-22,3988.0,4016.25,3941.5,3965.0,3965.0,1736592
2022-07-25,3967.75,3988.75,3946.0,3970.0,3970.0,1493471
2022-07-26,3959.0,3964.5,3913.25,3923.25,3923.25,1589161
2022-07-27,3939.25,4042.75,3938.75,4024.5,4024.5,1740431
2022-07-28,4022.0,4111.0,3994.5,4073.5,4073.5,2014467
2022-07-29,4105.0,4144.0,4081.0,4133.5,4133.5,1919598
2022-08-01,4137.5,4147.25,4097.0,4120.5,4120.5,1776936
2022-08-02,4119.75,4143.0,4080.5,4093.75,4093.75,1892241
2022-08-03,4097.0,4170.0,4084.5,4156.25,4156.25,1696602
2022-08-04,4150.25,4173.25,4136.0,4152.25,4152.25,1245063
2022-08-05,4152.0,4166.25,4103.75,4146.75,4146.75,1722401
2022-08-08,4149.75,4188.0,4129.25,4141.75,4141.75,1536449
2022-08-09,4148.5,4155.0,4113.0,4124.5,4124.5,1280085
2022-08-10,4128.75,4213.5,4113.75,4210.0,4210.0,1627940
2022-08-11,4210.75,4260.5,4202.75,4209.75,4209.75,1598130
2022-08-12,4219.25,4282.75,4208.25,4281.0,4281.0,1300170
2022-08-15,4277.0,4304.75,4249.0,4298.25,4298.25,1317241
2022-08-16,4294.5,4327.5,4278.75,4307.75,4307.75,1363248
2022-08-17,4309.25,4315.0,4255.0,4276.75,4276.75,1638797
2022-08-18,4279.5,4295.5,4258.0,4286.5,4286.5,1366220
2022-08-19,4287.0,4288.0,4220.75,4231.5,4231.5,1701251
2022-08-22,4221.0,4221.5,4131.5,4141.25,4141.25,1724203
2022-08-23,4147.0,4161.75,4118.0,4130.5,4130.5,1575674
2022-08-24,4128.25,4158.5,4110.75,4142.75,4142.75,1348612
2022-08-25,4148.75,4202.75,4143.0,4201.0,4201.0,1635476
2022-08-26,4198.25,4217.25,4042.75,4059.5,4059.5,2241117
2022-08-29,4024.0,4064.0,4006.75,4031.25,4031.25,1963446
2022-08-30,4035.75,4072.75,3964.5,3987.5,3987.5,2555455
2022-08-31,3987.25,4018.25,3953.0,3956.5,3956.5,2366488
2022-09-01,3958.0,3971.25,3903.5,3968.75,3968.75,2212034
2022-09-02,3967.5,4019.25,3906.0,3924.5,3924.5,2510355
2022-09-06,3929.0,3963.25,3886.75,3910.5,3910.5,2360326
2022-09-07,3907.5,3988.75,3883.5,3980.0,3980.0,1956209
2022-09-08,3980.0,4011.5,3942.75,4005.5,4005.5,2356008
2022-09-09,4010.25,4077.25,4005.75,4067.25,4067.25,1677890
2022-09-12,4077.25,4119.75,4062.25,4110.75,4110.75,1718859
2022-09-13,4118.25,4158.0,3919.75,3931.25,3931.25,1418271
2022-09-14,3936.75,3962.75,3911.25,3947.5,3947.5,662596
2022-09-15,3955.0,3959.5,3888.0,3902.0,3902.0,662596
